text,intent,response
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Su içme,general_health,Günde en az 8 bardak su için.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Su içme,general_health,Günde en az 8 bardak su için.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Su içme,general_health,Günde en az 8 bardak su için.
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Bye,goodbye,Bye! Her zaman buradayım.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Su içme,general_health,Günde en az 8 bardak su için.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Su içme,general_health,Günde en az 8 bardak su için.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Uykusuzluk var,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Su içme,general_health,Günde en az 8 bardak su için.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Selam,greeting,Selam! Sağlık asistanınızım.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Su içme,general_health,Günde en az 8 bardak su için.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Su içme,general_health,Günde en az 8 bardak su için.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Su içme,general_health,Günde en az 8 bardak su için.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Su içme,general_health,Günde en az 8 bardak su için.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Su içme,general_health,Günde en az 8 bardak su için.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Başım ağrıyor var,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Bu sabah yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göğsümde ağrı çok şiddetli,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Bye,goodbye,Bye! Her zaman buradayım.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Bu sabah diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Uykusuzluk var,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Merhaba,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Sağ ol,goodbye,Sağ olun! Sağlıklı günler.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Bye,goodbye,Bye! Her zaman buradayım.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Su içme,general_health,Günde en az 8 bardak su için.
Diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Bu sabah yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Su içme,general_health,Günde en az 8 bardak su için.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Uykusuzluk var,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Selam sağlık asistanı,greeting,Selam! Sağlık asistanınızım.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
